Key,Desc,Default,French
3D Prop Art,,3D Prop Art,Objets 3D Art
3RD-TOP DOWN CAMERA,,3RD/Top Down Camera,TPS / Caméra vers le bas
3rd Person,,3rd Person,TPS
ADD AUDIO,,ADD AUDIO,Ajouter audio
ADVANCED,,Advanced,Avancée
ALL SERVERS,,All Servers,Tous les serveurs
ALL TAGS,,All Tags,Tous les tags
ALT Zoom and Hidden Areas do not work on it.,,ALT Zoom and Hidden Areas do not work on it.,ALT Zoom et zones cachées ne fonctionnent pas dessus.
APPLY,,Apply,Appliquer
Abstract Games,,Abstract Games,Jeux abstraits
Action,,Action,Action
Active Tags Displayed Here!,,Active Tags Displayed Here!,Les mots clés actifs sont affichés ici !
Add Custom Tag:,,Add Custom Tag:,Ajouter un mot clé personnalisé:
Add New,,Add New,Nouveau
Add Tag:,,Add Tag:,Ajouter une étiquette:
Add a tag to the selected components.,,Add a tag to the selected components.,Ajouter un tag aux composants sélectionnés.
Additive Load,,Additive Load,charge additif
Adds soft shadows to the scene for a greater sense of depth. Costly performance.,,Adds soft shadows to the scene for a greater sense of depth. Costly performance.,Ajoute des ombres douces sur la scène pour un plus grand sens de la profondeur. performances coûteuses.
Admin,,Admin,Admin
Advanced Mode,,Advanced Mode,Mode avancé
Advanced Options,,Advanced Options,Options avancées
Align Zoomed Object,,Align Zoomed Object,Aligner l'objet zoomé
All,,All,Tout
All Commands,,All Commands,Commandes
All actions will be executed on all highlighted objects.,,All actions will be executed on all highlighted objects.,Toutes les actions seront exécutées sur tous les objets mis en évidence.
Allow Swapping,,Allow Swapping,Autoriser Permutation
Allows player to be able to change their color-seat.,,Allows player to be able to change their color/seat.,Permet au joueur de pouvoir changer leur couleur / siège.
Allows players to be able to create or destroy hidden areas or randomize zones.,,Allows players to be able to create or destroy hidden areas or randomize zones.,Permet aux joueurs de pouvoir créer ou détruire des zones cachées ou aléatoires.
Allows players to be able to draw with the paint tool on the table.,,Allows players to be able to draw with the paint tool on the table.,Permet aux joueurs de pouvoir dessiner avec l'outil de peinture sur la table.
Allows players to be able to draw.,,Allows players to be able to draw.,Permet aux joueurs de pouvoir dessiner.
"Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc).",,"Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc).","Permet aux joueurs de pouvoir interagir avec les objets numériques (lecteur MP3, compteur, horloge, etc.)."
"Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc).",,"Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc).","Permet aux joueurs de pouvoir interagir avec les objets numériques (tablette, lecteur Mp3, compteur, etc.)."
Allows players to be able to interact with the music player.,,Allows players to be able to interact with the music player.,Permet aux joueurs de pouvoir interagir avec le lecteur de musique.
Allows players to be able to interact with the tablets.,,Allows players to be able to interact with the tablets.,Permet aux joueurs de pouvoir interagir avec la tablette.
Allows players to be able to nudge objects.,,Allows players to be able to nudge objects.,Permet aux joueurs de pouvoir pousser des objets.
Allows players to be able to peek under objects.,,Allows players to be able to peek under objects.,Permet aux joueurs de pouvoir regarder sous les objets.
Allows players to be able to save objects.,,Allows players to be able to save objects.,Permet aux joueurs de pouvoir enregistrer des objets.
Allows players to be able to use the decal tool.,,Allows players to be able to use the decal tool.,Permet aux joueurs de pouvoir utiliser l'outil autocollant.
Allows players to be able to use the line tool. This includes the to ping location.,,Allows players to be able to use the line tool. This includes the to ping location.,Permet aux joueurs de pouvoir utiliser l'outil de ligne. Cela inclut le ping à l'emplacement.
Allows players to combine objects together with the combine tool.,,Allows players to combine objects together with the combine tool.,Permet aux joueurs de combiner des objets avec l'outil combinaisson.
Allows players to create or destroy joints.,,Allows players to create or destroy joints.,Permet aux joueurs de créer ou de détruire les articulations.
Allows players to edit the notebook or text on screen.,,Allows players to edit the notebook or text on screen.,Permet aux joueurs de modifier les notes ou d'un texte à l'écran.
Allows players to flick objects.,,Allows players to flick objects.,Allows players to flick objects.
Allows players to flip the table.,,Allows players to flip the table.,Permet aux joueurs de retourner la table.
Allows players to increase or decrease the size of objects.,,Allows players to increase or decrease the size of objects.,Permet aux joueurs d'augmenter ou diminuer la taille des objets.
Allows players to join or leave teams.,,Allows players to join or leave teams.,Permet aux joueurs de rejoindre ou quitter des équipes.
Allows players to lock and unlock objects in place.,,Allows players to lock and unlock objects in place.,Permet aux joueurs de verrouiller et de déverrouiller des objets.
"Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)",,"Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)","Permet aux joueurs d'effectuer des actions dans le menu contextuel (Nom, Distribution, Recherche, etc.)"
Alpha,,Alpha,Alpha
Alt,,Alt,Alt
Alt-Zoom Always On,,Alt-Zoom Always On,Alt-Zoom Toujours activé
Alt-Zoom Follows Pointer,,Alt-Zoom Follows Pointer,Alt-Zoom Suit le curseur
Alternate Direction,,Alternate Direction,Alterner les directions
"Alternatively, you can also hold an object & press your middle mouse button.",,"Alternatively, you can also hold an object & press your middle mouse button.",Vous pouvez également tenir un objet et appuyez sur le bouton milieu de la souris.
"Alternatively, you can also hold an object & use the scroll wheel on your mouse.",,"Alternatively, you can also hold an object & use the scroll wheel on your mouse.",Vous pouvez également tenir un objet et utiliser la molette de défilement de votre souris.
"Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects.",,"Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects.","Vous pouvez également tenir un objet, appuyez sur + et utilisez la molette de défilement de votre souris pour des objets à grande échelle."
"Alternatively, you can press the chat icon on the bottom left to text chat.",,"Alternatively, you can press the chat icon on the bottom left to text chat.",Vous pouvez également appuyer sur l'icône de chat en bas à gauche au texte dans le chat.
Always On,,Always On,Toujours Activé
"Always display the on-screen keyboard,",,"Always display the on-screen keyboard,","Toujours afficher le clavier à l'écran,"
Amaranth,,Amaranth,Amarante
Ambient,,Ambient,Ambiance
Ambient Intensity,,Ambient Intensity,Intensité Ambiante
An advanced feature for scripting. Can be used to return all objects in this zone.,,An advanced feature for scripting. Can be used to return all objects in this zone.,Une fonctionnalité avancée pour les scripts. Peut être utilisé pour renvoyer tous les objets dans cette zone.
Anchor,,Anchor,Ancre
Anchored,,Anchored,ancré
And all our Kickstarter Supporters! Thank you very much!,,And all our Kickstarter Supporters! Thank you very much!,Et tous nos partisans Kickstarter! Merci beaucoup!
Angular Drag,,Angular Drag,Frottements avec l'air (Rotation)
Animals,,Animals,Animaux
Animations,,Animations,Animations
Anisotropic Filtering,,Anisotropic Filtering,Filtrage Anisotrope
Anyone can join with an optional password.,,Anyone can join with an optional password.,Tout le monde peut se joindre à un mot de passe en option.
Are you looking for players to join you?,,Are you looking for players to join you?,Vous cherchez joueurs à vous rejoindre?
Are you sure you want to additively load {0}?,,Are you sure you want to additively load {0}?,Êtes-vous sûr de vouloir additivement charge {0}?
Are you sure you want to clear the table?,,Are you sure you want to clear the table?,Etes-vous sûr de vouloir nettoyer la table ?
Are you sure you want to delete script {0}?,,Are you sure you want to delete script {0}?,Etes-vous sûr de vouloir supprimer le script {0}?
Are you sure you want to delete {0}?,,Are you sure you want to delete {0}?,Etes-vous sûr de vouloir supprimer {0} ?
Are you sure you want to exit to the Main Menu?,,Are you sure you want to exit to the Main Menu?,Etes-vous sûr de vouloir retourner au menu principal ?
Are you sure you want to load {0}?,,Are you sure you want to load {0}?,Êtes-vous sûr que vous voulez charger {0} ?
Arms,Weapons,Arms,Armes
Arms Coin 2,Weapons Coin 2,Arms Coin 2,Armes Coin 2
Arms Coin 3,Weapons Coin 3,Arms Coin 3,Armes Coin 3
Arms Coin 4,Weapons Coin 4,Arms Coin 4,Armes Coin 4
Arms Coin 5,Weapons Coin 5,Arms Coin 5,Armes Coin 5
Arms Coin Ace,Weapons Coin Ace,Arms Coin Ace,Armes Coin Ace
Arms Coin Blank,Weapons Coin Blank,Arms Coin Blank,Armes Coin Blank
Arms Dice,Weapons Dice,Arms Dice,armes dés
Arms Square 2,Weapons Square 2,Arms Square 2,Armes Square 2
Arms Square 3,Weapons Square 3,Arms Square 3,Armes Square 3
Arms Square 4,Weapons Square 4,Arms Square 4,Armes Square 4
Arms Square 5,Weapons Square 5,Arms Square 5,Armes Square 5
Arms Square Ace,Weapons Square Ace,Arms Square Ace,Armes Place Ace
Arms Square Blank,Weapons Square Blank,Arms Square Blank,Armes Place Blank
Arrow-Line Tool,,Arrow/Line Tool,Flèche / Règle
Arrows next to the top menu rewind-forward time (host only).,,Arrows next to the top menu rewind/forward time (host only).,Les flèches en haut à gauche permettent de remonter le temps.
Asset name,,Asset name,Nom de composant
AssetBundle,,AssetBundle,Collection d'assets
Assets,,Assets,Assets
Attach,,Attach,Attacher
Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.,,Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.,Attachez l'objet à l'autre dans une relation parent-enfant. L'objet étant attaché n'est plus propre entité de et existe seulement visuellement.
Attached UI Screen,,Attached UI Screen,Ancrage de l'interface
Attack,,Attack,Attaque
Audio,,Audio,Audio
Audio name,,Audio name,Nom audio
Auto,,Auto,Auto
Auto Hide Chat,,Auto Hide Chat,Auto Cacher Le Chat
Auto Run,,Auto Run,Exécution Automatique
Auto Scale,,Auto Scale,Automatique
Auto connect to IRC on startup.,,Auto connect to IRC on startup.,Auto se connecter à l'IRC au démarrage.
Auto raise,,Auto raise,Auto raise
Auto scale will automatically size the UI to match the resolution ignoring the slider.,,Auto scale will automatically size the UI to match the resolution ignoring the slider.,Redimensionne automatiquement l'interface utilisateur pour correspondre à la résolution en ignorant le curseur.
"Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position.",,"Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position.","Auto: Mesure des objets, le cas échéant. Lorsque vous survolez, maintenez la touche CTRL pour utiliser la position du pointeur à la place. Gratuit: Mesurer en utilisant seulement votre position de pointeur."
Autofocus Search Input,,Autofocus Search Input,Écrire dans la recherche automatiquement
Automatic,,Automatic,Automatique
Automatically arranges objects (predominantly cards),,Automatically arranges objects (predominantly cards),Automatiquement arrange les objets (principalement des cartes)
Autoraise,,Autoraise,Autoraise
Autosave Interval,,Autosave Interval,Interval des sauvegardes Auto.
Autosave Log,,Autosave Log,Avertir des sauvergardes dans la console
Available space on Steam Cloud. ~100 GB available total.,,Available space on Steam Cloud. ~100 GB available total.,L'espace disponible sur Steam Cloud. ~ 100 Go total disponible.
Axis,,Axis,Axe
BACKGROUNDS,,Backgrounds,Arrière-plans
BLOCK,,Block,Bloquer
BLOCKED,,Blocked,Bloqué
Back,,Back,Arrière
Back Image,,Back Image,Image arrière
Back is Hidden,,Back is Hidden,Cacher l'arrière
Backgammon,,Backgammon,Backgammon
Background,,Background,Fond
Backspace,,Backspace,Backspace
Bad Connection,,Bad Connection,Mauvaise connexion
Bag,,Bag,Sac
Barghest,,Barghest,Barghest
Barrel,,Barrel,Baril
Basilisk,,Basilisk,Basilic
Battle For Souls,,Battle For Souls,Bataille pour les âmes
Bear,,Bear,Ours
Bind,,Bind,Lier
Bishop,,Bishop,Fou
Bishop Cast Iron,,Bishop Cast Iron,Bishop Cast Iron
Bishop Chrome,,Bishop Chrome,Bishop Chrome
Bishop Dark,,Bishop Dark,évêque noir
Bishop Light,,Bishop Light,Bishop Lumière
Bishop Supporters,,Bishop Supporters,Les partisans Bishop
Black,,Black,Noir
Black (Game Master - see all hidden information),,Black (Game Master - see all hidden information),Noir (Game Master - voir toutes les informations cachées)
Black (Game Master),,Black (Game Master),Noir (Maitre du Jeu)
Black Bowl,,Black Bowl,Bol noir
Black Dragon,,Black Dragon,Dragon noir
Black Piece,,Black Piece,Piece noir
Blindfold,,Blindfold,Se rendre aveugle
Blindfolded (Can't see),,Blindfolded (Can't see),Les yeux bandés (ne peut pas voir)
Block ?,,Block <Player>?,Bloquer <Player>?
Block {0}?,,Block {0}?,Bloquer {0}?
Blocks,,Blocks,Blocs
Blue,,Blue,Bleu
Blue 10,,Blue 10,bleu 10
Blue Rectangle,,Blue Rectangle,bleu Rectangle
Board,,Board,Planche
Board Games,,Board Games,Jeux de plateau
Boardgame,,Boardgame,Jeu de plateau
Boards,,Boards,Planches
Book Buttons On Hover,,Book Buttons On Hover,Boutons des livres au survol
Book Page Opacity,,Book Page Opacity,Opacité des pages
Book UI Opacity,,Book UI Opacity,Opacité de l'interface des livres
Both,,Both,Tous les deux
Bottom Image,,Bottom Image,image du bas
Bounciness,,Bounciness,Rebondissement
Bowl,,Bowl,bol
Box,,Box,Boîte
Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.,,Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.,Sélectionnez plusieurs objets et appuyez sur la touche pour les regrouper. Cela ne fonctionne que pour les objets empilables et des cartes. Cela peut aussi se faire dans le menu contextuel.
Break Force,,Break Force,Force de rupture
Break Torque,,Break Torque,Couple de rupture
Brightness,,Brightness,Luminosité
Broken Confirmation Dialog!,,Broken Confirmation Dialog!,Cassé de dialogue de confirmation!
Brown,,Brown,Marron
Brown Backgammon,,Brown Backgammon,Brown Backgammon
Browse,,Browse,Chercher
Browse Local Files,,Browse Local Files,Parcourir les fichiers locaux
Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.,,Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.,Parcourez votre atelier Mods. Si l'interrogation atelier pourrait ne pas être énuméré quelques-unes de vos mods. Vous devez également être abonné à votre mod pour afficher ici.
Browse mods on the Workshop.,,Browse mods on the Workshop.,Parcourir les mods sur l'atelier.
Business Coordinator,,Business Coordinator,Coordinateur commercial
CHAT COMMANDS,,Chat Commands,Commandes chat
CLASSIC,,Classic,Classique
CLEAR,,Clear,Nettoyer
CLOUD,,Cloud,Cloud
CM,,CM,CM
COMPONENTS,,Components,Composants
CONTEXTUAL MENU,,Contextual Menu,Menu contextuel
CONTROLLERS,,Controllers,Manettes
CONTROLS,,Controls,Contrôles
CREATE,,Create,Créer
CREATE ASSET,,Create Asset,Créer des actifs
CREATE DECAL,,Create Decal,Créer Decal
CUSTOM ASSETBUNDLE,,Custom Assetbundle,Assetbundle sur mesure
CUSTOM BACKGROUND,,Custom Background,Arrière-plan personnalisé
CUSTOM BOARD,,Custom Board,Conseil personnalisé
CUSTOM CARD,,Custom Card,Carte personnalisée
CUSTOM DECK,,Custom Deck,Plate-forme personnalisée
CUSTOM DICE,,Custom Dice,Dés sur mesure
CUSTOM FIGURINE,,Custom Figurine,Figurine personnalisée
CUSTOM IMAGE,,Custom Image,Image personnalisée
CUSTOM JIGSAW,,Custom Jigsaw,Jigsaw personnalisé
CUSTOM MODEL,,Custom Model,Modèle sur mesure
CUSTOM OBJECT,,Custom Object,Objet personnalisé
CUSTOM PDF,,Custom PDF,PDF personnalisé
CUSTOM TABLE,,Custom Table,Tableau personnalisé
CUSTOM TABLE SQUARE,,Custom Table Square,Table carrée sur mesure
CUSTOM TILE,,Custom Tile,Carrelage personnalisé
CUSTOM TOKEN,,Custom Token,jeton personnalisé
Calculator,,Calculator,Calculatrice
Camera,,Camera,Caméra
Camera Down,,Camera Down,Caméra vers le bas
Camera Hold Rotate,,Camera Hold Rotate,(Maintenir) Faire pivoter la caméra
Camera Left,,Camera Left,Caméra gauche
Camera Load Spin Rate,,Camera Load Spin Rate,Vitesse des caméras pré-sauvegardées
Camera Mode,,Camera Mode,Mode caméra
Camera Right,,Camera Right,Caméra Droite
Camera Up,,Camera Up,Caméra Haut
Camera mode that functions like a FPS.,,Camera mode that functions like a FPS.,Caméra qui fonctionne comme un FPS.
Camera mode that functions like a top down 2d game.,,Camera mode that functions like a top down 2d game.,Caméra qui fonctionne de haut vers le bas comme un jeu 2D.
Camera mode that is like a spectator camera in a FPS.,,Camera mode that is like a spectator camera in a FPS.,Caméra qui est comme une caméra spectateur dans un FPS.
Camera mode that orbits a point similar to a MMO.,,Camera mode that orbits a point similar to a MMO.,Caméra qui tourne autour d'un point similaire à un MMO.
Camera mode that orbits a point.,,Camera mode that orbits a point.,Caméra qui tourne autour d'un point.
Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users,,Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users,état de la caméra 0 remplace la position de la barre d'espace pour tout le monde à la table au lieu d'utiliser l'emplacement de la main. Déplacez votre appareil photo où vous voulez que votre position de la caméra par défaut pour être et appuyez sur Ctrl + 0. Ceci est la nouvelle position de la barre d'espace pour tous les utilisateurs
Cancel,,Cancel,Annuler
Cannot overwrite default themes.,,Cannot overwrite default themes.,Impossible de remplacer des thèmes par défaut.
Cap Framerate,,Cap Framerate,Limiter les IPS
Card,,Card,Carte
Card Games,,Card Games,Jeux de cartes
Card Hands,,Card Hands,carte mains
Card Is A Deck For Hotkeys,,Card Is A Deck For Hotkeys,Card Is A Deck For Hotkeys
Card Scale,,Card Scale,Echelle carte
CardBot,,CardBot,carte Bot
CardBots Head Deck,,CardBots Head Deck,CardBots tête plate-forme
CardBots Main Deck,,CardBots Main Deck,CardBots Pont principal
Cardboard,,Cardboard,Papier carton
Cards,,Cards,Cartes
Cards-Per-Deck,,Cards Per Deck,Cartes par jeu
Cast Shadows,,Cast Shadows,Projette des ombres
Category,,Category,Catégorie
Cathedral,,Cathedral,Cathédrale
Centaur,,Centaur,Centaure
Center,,Center,Centre
Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.,,Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.,Centre: Gizmos placé au point de pivot de l'objet sélectionné. Pivot: Gizmos placé au point de pivotement de l'objet sélectionné.
Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.,,Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.,Centre: Gizmos placé au centre de la sélection. Pivot: Gizmos placé au point de pivotement de l'objet sélectionné.
Centre On Mouse Wheel,,Centre On Mouse Wheel,Centre sur la souris
Cerberus,,Cerberus,Cerberus
Certain object types have special properties to make them behave more naturally.,,Certain object types have special properties to make them behave more naturally.,Certains types d'objets ont des propriétés spéciales pour les faire se comporter plus naturellement.
Chair,,Chair,chaise
Change Color,,Change Color,Changer de couleur
Change Team,,Change Team,Changer d'équipe
"Change any settings like Graphics, Controls, UI, etc.",,"Change any settings like Graphics, Controls, UI, etc.","Modifiez les paramètres tels que graphiques, contrôles, interface utilisateur, etc."
Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat),,Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat),"Choix du mode de communication: Appuyez pour parler (Maintenez la touche), Bascule (Activer ou désactiver votre micro) Désactiver (Désactive le tchat vocal)"
Change the chat window color.,,Change the chat window color.,Changer la couleur de la fenêtre de chat.
Change the color of the light shining from above.,,Change the color of the light shining from above.,Changer la couleur de la lumière qui brille en haut.
Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.,,Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.,Modifier les méta-données pour votre jeu actuellement chargé. Cette information est consultable dans le jeu et sur le Workshop.
Change the tooltip on object based on its rotation. Great for custom dice or tiles.,,Change the tooltip on object based on its rotation. Great for custom dice or tiles.,Modifier l'info-bulle sur l'objet en fonction de sa rotation. Idéal pour les dés personnalisés ou des tuiles.
Change to the next page.,,Change to the next page.,Changer à la page suivante.
Change to the next state.,,Change to the next state.,Changer à l'étape suivante.
Changes chat Opacity.,,Changes chat Opacity.,Les changements de chat Opacité.
Changes how strong the light shines from above. This also effects the strength of the shadows.,,Changes how strong the light shines from above. This also effects the strength of the shadows.,Les changements la force de la lumière luit d'en haut. Cela influe aussi la force de l'ombre.
Changes the Camera look speed.,,Changes the Camera look speed.,Modifie la vitesse de rotation de la caméra.
Changes the amount the camera can see.,,Changes the amount the camera can see.,Modifie le champ de vision de la caméra.
Changes the color of the grid.,,Changes the color of the grid.,Modifie la couleur de la grille.
Changes the font size.,,Changes the font size.,Modifie la taille de la police.
Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.,,Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.,Modifie le volume global de tous les lecteurs mp3 en jeu. Vous pouvez toujours régler le volume sur l'objet lui-même.
Changes the global volume of everything.,,Changes the global volume of everything.,Modifie le volume global de tout.
Changes the in-game volume of objects.,,Changes the in-game volume of objects.,Modifie le volume des objets dans le jeu.
Changes the intensity of the LUT.,,Changes the intensity of the LUT.,Modifie l'intensité de la LUT.
Changes the speed in which your camera moves.,,Changes the speed in which your camera moves.,Change la vitesse à laquelle votre caméra se déplace.
Changes the transparency the grid.,,Changes the transparency the grid.,Modifie la transparence de la grille.
Changes the volume of other player's voice.,,Changes the volume of other player's voice.,Modifie le volume de la voix d'un autre joueur.
Changes the volume of the main menu music.,,Changes the volume of the main menu music.,Modifie le volume de la musique du menu principal.
Changes the volume of your voice.,,Changes the volume of your voice.,Modifie le volume de votre voix.
Chat,,Chat,Tchat
Chat Settings,,Chat Settings,Paramètres de discussion
Chat will auto hide after a set amount of time.,,Chat will auto hide after a set amount of time.,Le chat cachera automatique après un certain laps de temps.
Chat will filter rude words and misbehaviour.,,Chat will filter rude words and misbehaviour.,Le chat filtrera les mots et les mauvais comportements grossiers.
Check,,Check,Vérifier
Check out the patch!,,Check out the patch!,Consultez le patch!
Check this to enable controller input.,,Check this to enable controller input.,Cochez cette case pour activer l'entrée contrôleur.
Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.,,Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.,Cochez cette case pour activer le support tactile. Note: Ceci arrête actuellement l'entrée de la souris de fonctionner correctement tout permis.
Checkers,,Checkers,Dames
Chess,,Chess,Échecs
Chest,,Chest,Poitrine
Chest Tools,,Chest Tools,Outils poitrine
Chimera,,Chimera,Chimère
Chinese Checkers,,Chinese Checkers,Dames chinoises
Chip,,Chip,Puce
